areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2021-04-19,460
E40000003,London,nhsRegion,2021-04-18,467
E40000003,London,nhsRegion,2021-04-17,476
E40000003,London,nhsRegion,2021-04-16,501
E40000003,London,nhsRegion,2021-04-15,498
E40000003,London,nhsRegion,2021-04-14,513
E40000003,London,nhsRegion,2021-04-13,521
E40000003,London,nhsRegion,2021-04-12,520
E40000003,London,nhsRegion,2021-04-11,520
E40000003,London,nhsRegion,2021-04-10,538
E40000003,London,nhsRegion,2021-04-09,561
E40000003,London,nhsRegion,2021-04-08,569
E40000003,London,nhsRegion,2021-04-07,577
E40000003,London,nhsRegion,2021-04-06,601
E40000003,London,nhsRegion,2021-04-05,636
E40000003,London,nhsRegion,2021-04-04,637
E40000003,London,nhsRegion,2021-04-03,630
E40000003,London,nhsRegion,2021-04-02,652
E40000003,London,nhsRegion,2021-04-01,668
E40000003,London,nhsRegion,2021-03-31,689
E40000003,London,nhsRegion,2021-03-30,717
E40000003,London,nhsRegion,2021-03-29,733
E40000003,London,nhsRegion,2021-03-28,737
E40000003,London,nhsRegion,2021-03-27,742
E40000003,London,nhsRegion,2021-03-26,799
E40000003,London,nhsRegion,2021-03-25,811
E40000003,London,nhsRegion,2021-03-24,840
E40000003,London,nhsRegion,2021-03-23,876
E40000003,London,nhsRegion,2021-03-22,922
E40000003,London,nhsRegion,2021-03-21,928
E40000003,London,nhsRegion,2021-03-20,941
E40000003,London,nhsRegion,2021-03-19,986
E40000003,London,nhsRegion,2021-03-18,1023
E40000003,London,nhsRegion,2021-03-17,1082
E40000003,London,nhsRegion,2021-03-16,1138
E40000003,London,nhsRegion,2021-03-15,1185
E40000003,London,nhsRegion,2021-03-14,1181
E40000003,London,nhsRegion,2021-03-13,1190
E40000003,London,nhsRegion,2021-03-12,1273
E40000003,London,nhsRegion,2021-03-11,1335
E40000003,London,nhsRegion,2021-03-10,1400
E40000003,London,nhsRegion,2021-03-09,1481
E40000003,London,nhsRegion,2021-03-08,1551
E40000003,London,nhsRegion,2021-03-07,1562
E40000003,London,nhsRegion,2021-03-06,1618
E40000003,London,nhsRegion,2021-03-05,1723
E40000003,London,nhsRegion,2021-03-04,1821
E40000003,London,nhsRegion,2021-03-03,1861
E40000003,London,nhsRegion,2021-03-02,1932
E40000003,London,nhsRegion,2021-03-01,2018
E40000003,London,nhsRegion,2021-02-28,1828
E40000003,London,nhsRegion,2021-02-27,2102
E40000003,London,nhsRegion,2021-02-26,2253
E40000003,London,nhsRegion,2021-02-25,2371
E40000003,London,nhsRegion,2021-02-24,2503
E40000003,London,nhsRegion,2021-02-23,2490
E40000003,London,nhsRegion,2021-02-22,2737
E40000003,London,nhsRegion,2021-02-21,2734
E40000003,London,nhsRegion,2021-02-20,2803
E40000003,London,nhsRegion,2021-02-19,3048
E40000003,London,nhsRegion,2021-02-18,3059
E40000003,London,nhsRegion,2021-02-17,3292
E40000003,London,nhsRegion,2021-02-16,3500
E40000003,London,nhsRegion,2021-02-15,3603
E40000003,London,nhsRegion,2021-02-14,3595
E40000003,London,nhsRegion,2021-02-13,3562
E40000003,London,nhsRegion,2021-02-12,3882
E40000003,London,nhsRegion,2021-02-11,4079
E40000003,London,nhsRegion,2021-02-10,4279
E40000003,London,nhsRegion,2021-02-09,4574
E40000003,London,nhsRegion,2021-02-08,4743
E40000003,London,nhsRegion,2021-02-07,4729
E40000003,London,nhsRegion,2021-02-06,4787
E40000003,London,nhsRegion,2021-02-05,5066
E40000003,London,nhsRegion,2021-02-04,5212
E40000003,London,nhsRegion,2021-02-03,5462
E40000003,London,nhsRegion,2021-02-02,5723
E40000003,London,nhsRegion,2021-02-01,5881
E40000003,London,nhsRegion,2021-01-31,5654
E40000003,London,nhsRegion,2021-01-30,5918
E40000003,London,nhsRegion,2021-01-29,6064
E40000003,London,nhsRegion,2021-01-28,6393
E40000003,London,nhsRegion,2021-01-27,6272
E40000003,London,nhsRegion,2021-01-26,6785
E40000003,London,nhsRegion,2021-01-25,7014
E40000003,London,nhsRegion,2021-01-24,7030
E40000003,London,nhsRegion,2021-01-23,7044
E40000003,London,nhsRegion,2021-01-22,7298
E40000003,London,nhsRegion,2021-01-21,7332
E40000003,London,nhsRegion,2021-01-20,7588
E40000003,London,nhsRegion,2021-01-19,7711
E40000003,London,nhsRegion,2021-01-18,7917
E40000003,London,nhsRegion,2021-01-17,7707
E40000003,London,nhsRegion,2021-01-16,7571
E40000003,London,nhsRegion,2021-01-15,7811
E40000003,London,nhsRegion,2021-01-14,7840
E40000003,London,nhsRegion,2021-01-13,7686
E40000003,London,nhsRegion,2021-01-12,7606
E40000003,London,nhsRegion,2021-01-11,7799
E40000003,London,nhsRegion,2021-01-10,7494
E40000003,London,nhsRegion,2021-01-09,7224
E40000003,London,nhsRegion,2021-01-08,7277
E40000003,London,nhsRegion,2021-01-07,7231
E40000003,London,nhsRegion,2021-01-06,7034
E40000003,London,nhsRegion,2021-01-05,6816
E40000003,London,nhsRegion,2021-01-04,6733
E40000003,London,nhsRegion,2021-01-03,6358
E40000003,London,nhsRegion,2021-01-02,5861
E40000003,London,nhsRegion,2021-01-01,5511
E40000003,London,nhsRegion,2020-12-31,5685
E40000003,London,nhsRegion,2020-12-30,5524
E40000003,London,nhsRegion,2020-12-29,5371
E40000003,London,nhsRegion,2020-12-28,4957
E40000003,London,nhsRegion,2020-12-27,4591
E40000003,London,nhsRegion,2020-12-26,4276
E40000003,London,nhsRegion,2020-12-25,4019
E40000003,London,nhsRegion,2020-12-24,3966
E40000003,London,nhsRegion,2020-12-23,3578
E40000003,London,nhsRegion,2020-12-22,3559
E40000003,London,nhsRegion,2020-12-21,3367
E40000003,London,nhsRegion,2020-12-20,3067
E40000003,London,nhsRegion,2020-12-19,2909
E40000003,London,nhsRegion,2020-12-18,2726
E40000003,London,nhsRegion,2020-12-17,2607
E40000003,London,nhsRegion,2020-12-16,2543
E40000003,London,nhsRegion,2020-12-15,2482
E40000003,London,nhsRegion,2020-12-14,2330
E40000003,London,nhsRegion,2020-12-13,2212
E40000003,London,nhsRegion,2020-12-12,2092
E40000003,London,nhsRegion,2020-12-11,2031
E40000003,London,nhsRegion,2020-12-10,1934
E40000003,London,nhsRegion,2020-12-09,1787
E40000003,London,nhsRegion,2020-12-08,1849
E40000003,London,nhsRegion,2020-12-07,1822
E40000003,London,nhsRegion,2020-12-06,1766
E40000003,London,nhsRegion,2020-12-05,1710
E40000003,London,nhsRegion,2020-12-04,1659
E40000003,London,nhsRegion,2020-12-03,1685
E40000003,London,nhsRegion,2020-12-02,1637
E40000003,London,nhsRegion,2020-12-01,1701
E40000003,London,nhsRegion,2020-11-30,1677
E40000003,London,nhsRegion,2020-11-29,1663
E40000003,London,nhsRegion,2020-11-28,1635
E40000003,London,nhsRegion,2020-11-27,1674
E40000003,London,nhsRegion,2020-11-26,1643
E40000003,London,nhsRegion,2020-11-25,1611
E40000003,London,nhsRegion,2020-11-24,1626
E40000003,London,nhsRegion,2020-11-23,1675
E40000003,London,nhsRegion,2020-11-22,1605
E40000003,London,nhsRegion,2020-11-21,1591
E40000003,London,nhsRegion,2020-11-20,1576
