altitude,distance,heart_rate,speed,cadence_running,cadence_cycling,power,temperature,pace,cumulative_elevation_gain,time
162,827.7326666666667,167,3.3500000000000227,NA,84,69.6057,NA,4.9751243781094185,120.86796611106254,240
162,831.0826666666667,167,3.5699999999999363,NA,82,70.8174,NA,4.668534080298869,121.21390355404172,241
162,834.6526666666666,166,3.7200000000000273,NA,83,88.8333,NA,4.480286738351222,121.55868212021689,242
162.2,838.3726666666666,165,3.629999999999995,NA,83,102.623,NA,4.59136822773187,121.90230326134332,243
162.2,842.0026666666666,165,3.6499999999999777,NA,83,97.3474,NA,4.566210045662129,122.24476843414789,244
162.2,845.6526666666666,164,3.7900000000000778,NA,83,85.1542,NA,4.397537379067632,122.58607910032887,245
162.4,849.4426666666667,164,3.8899999999999864,NA,84,90.0343,NA,4.28449014567268,122.9262367265561,246
162.4,853.3326666666667,164,3.979999999999905,NA,85,110.302,NA,4.187604690117354,123.26524278447089,247
162.4,857.3126666666666,163,4.380000000000109,NA,88,127.468,NA,3.805175038051655,123.60309875068596,248
162.6,861.6926666666667,163,4.519999999999982,NA,89,125.633,NA,3.687315634218304,123.93980610678577,249
162.6,866.2126666666667,164,4.360000000000014,NA,89,106.866,NA,3.822629969418948,124.27536633932596,250
162.8,870.5726666666667,164,4.319999999999936,NA,90,97.2419,NA,3.858024691358081,124.60978093983395,251
162.8,874.8926666666666,164,3.939999999999941,NA,92,110.421,NA,4.230118443316476,124.94305140480849,252
162.8,878.8326666666666,164,3.7200000000000273,NA,92,130.262,NA,4.480286738351222,125.27517923563217,253
162.8,882.5526666666666,164,3.7800000000000864,NA,91,116.336,NA,4.409171075837642,125.60616593822044,254
162.8,886.3326666666667,164,3.8299999999999272,NA,92,76.0115,NA,4.351610095735505,125.936013022934,255
162.8,890.1626666666666,164,3.789999999999963,NA,89,42.8025,NA,4.397537379067764,126.2647220045787,256
163,893.9526666666666,165,3.8400000000001455,NA,88,37.2396,NA,4.340277777777613,126.59229440240551,257
163,897.7926666666667,165,3.8599999999999,NA,87,44.4938,NA,4.317789291882668,126.91873174011072,258
163.2,901.6526666666666,166,3.930000000000064,NA,86,58.5744,NA,4.240882103477455,127.24403554583564,259
163.2,905.5826666666668,167,3.8899999999998727,NA,85,84.1602,NA,4.284490145672805,127.56820735216692,260
163.4,909.4726666666666,168,3.7000000000000455,NA,86,107.124,NA,4.50450450450445,127.89124869613624,261
163.2,913.1726666666666,168,3.6900000000000546,NA,87,114.378,NA,4.516711833784937,128.21316111922056,262
163.4,916.8626666666668,169,3.960000000000037,NA,88,121.865,NA,4.208754208754169,128.53394616734204,263
163.6,920.8226666666668,170,3.8600000000000136,NA,90,135.796,NA,4.317789291882541,128.85360539086793,264
163.4,924.6826666666668,170,3.8899999999998727,NA,91,139.378,NA,4.284490145672805,129.17214034461077,265
163.4,928.5726666666666,171,4.32000000000005,NA,92,138.538,NA,3.85802469135798,129.48955258782814,266
163.6,932.8926666666666,171,4.480000000000018,NA,94,123.561,NA,3.72023809523808,129.80584368422296,267
163.6,937.3726666666666,171,4.389999999999986,NA,94,102.822,NA,3.796507213363718,130.1210152019433,268
163.8,941.7626666666666,171,4.029999999999973,NA,94,73.9918,NA,4.135649296939647,130.43506871350024,269
163.8,945.7926666666666,172,3.629999999999995,NA,92,49.8403,NA,4.59136822773187,130.7480057954404,270
163.8,949.4226666666666,172,3.669999999999959,NA,91,47.7054,NA,4.541326067211677,131.05982802826355,271
164,953.0926666666666,173,3.6900000000000546,NA,88,54.6252,NA,4.516711833784937,131.37053699642274,272
164,956.7826666666666,174,3.560000000000059,NA,85,65.9405,NA,4.6816479400748285,131.6801342883244,273
164,960.3426666666668,175,3.560000000000059,NA,84,78.1597,NA,4.6816479400748285,131.98862149632814,274
164.2,963.9026666666668,176,3.7399999999998954,NA,85,87.4482,NA,4.456327985739875,132.29600021674693,275
164,967.6426666666666,176,3.740000000000009,NA,84,83.4752,NA,4.4563279857397395,132.60227204984702,276
164,971.3826666666666,178,3.7399999999998954,NA,84,71.8005,NA,4.456327985739875,132.9074385998479,277
164.4,975.1226666666664,178,3.7800000000000864,NA,84,64.8986,NA,4.409171075837642,133.2115014749224,278
164.6,978.9026666666666,179,3.7600000000001046,NA,84,84.629,NA,4.432624113475054,133.5144622871967,279
164.8,982.6626666666668,179,3.799999999999841,NA,86,102.72,NA,4.385964912280885,133.81632265275013,280
164.8,986.4626666666666,179,3.630000000000109,NA,88,120.591,NA,4.591368227731726,134.1170841916154,281
165,990.0926666666668,179,3.6099999999999,NA,86,138.154,NA,4.6168051708219195,134.41674852777845,282
165,993.7026666666666,179,3.660000000000082,NA,87,153.164,NA,4.553734061930681,134.71531728917861,283
165.2,997.3626666666668,180,3.6100000000001273,NA,89,154.143,NA,4.616805170821628,135.0127921077084,284
165,1000.9726666666668,179,3.689999999999941,NA,90,140.403,NA,4.516711833785077,135.30917461913492,285
165,1004.6626666666668,179,3.92999999999995,NA,89,137.954,NA,4.240882103477577,135.60446646278467,286
165,1008.5926666666668,179,3.67999999999995,NA,88,131.325,NA,4.528985507246438,135.89866928146492,287
165,1012.2726666666666,180,3.419999999999959,NA,86,90.1722,NA,4.873294346978616,136.1917847214635,288
165,1015.6926666666666,181,3.7199999999999136,NA,86,50.0392,NA,4.480286738351358,136.48381443254905,289
165,1019.4126666666664,181,3.790000000000191,NA,85,20.5131,NA,4.397537379067501,136.77476006797082,290
165,1023.2026666666668,181,3.7399999999997817,NA,82,21.3559,NA,4.45632798574001,137.06462328445872,291
165.2,1026.9426666666666,180,3.730000000000018,NA,80,25.2055,NA,4.468275245755117,137.3534057422234,292
165.2,1030.6726666666666,179,3.5300000000002,NA,79,21.8508,NA,4.721435316335898,137.6411091049562,293
165.4,1034.2026666666668,179,3.479999999999791,NA,79,39.9197,NA,4.789272030651628,137.9277350398291,294
165.4,1037.6826666666666,179,3.660000000000082,NA,80,61.8749,NA,4.553734061930681,138.21328521749476,295
165.4,1041.342666666667,180,3.6400000000001,NA,79,86.5005,NA,4.578754578754453,138.49776131208657,296
165.4,1044.9826666666668,180,3.740000000000009,NA,79,91.9318,NA,4.4563279857397395,138.78116500121854,297
165.2,1048.7226666666668,180,3.789999999999963,NA,83,81.8135,NA,4.397537379067764,139.06349796598542,298
165.4,1052.5126666666667,180,3.7799999999999727,NA,85,59.756,NA,4.409171075837774,139.34476189096264,299
165.4,1056.2926666666667,180,3.7000000000000455,NA,84,30.1994,NA,4.50450450450445,139.6249584642063,300
165.4,1059.9926666666668,180,3.349999999999909,NA,84,20.256,NA,4.975124378109588,139.90408937717072,301
165.4,1063.342666666667,180,3.2899999999999636,NA,80,20.1071,NA,5.065856129685973,140.18215632437904,302
165.4,1066.6326666666666,180,3.540000000000191,NA,79,23.4878,NA,4.708097928436657,140.4591610033406,303
165.4,1070.1726666666668,179,3.759999999999991,NA,80,28.3617,NA,4.432624113475188,140.73510511455112,304
165.6,1073.9326666666668,178,3.789999999999963,NA,81,36.2594,NA,4.397537379067764,141.00999036149256,305
165.6,1077.7226666666668,177,3.7199999999998,NA,81,56.8807,NA,4.480286738351496,141.2838184506332,306
165.6,1081.4426666666666,177,3.5700000000001637,NA,82,61.4616,NA,4.668534080298572,141.5565910914276,307
165.6,1085.0126666666667,176,3.4300000000000637,NA,82,69.575,NA,4.859086491739463,141.8283099963167,308
165.6,1088.4426666666668,176,3.6299999999998818,NA,83,79.9687,NA,4.591368227732014,142.09897688072763,309
